Round No.,Team No.,Did they move off the starting line?,Highest Reef Level Scored:,Number of Coral Scored:,Number of Algae Scored in Processor:,Number of Algae Scored in The Net:,Coral Scored on Level 1 (bottom):,Coral Scored on Level 2:,Coral Scored on Level 3:,Coral Scored on Level 4 (top):,Algae Scored in The Processor:,Algae Scored in The Net (robot):,Algae Scored in The Net (human),Which cage did they climb on?,Robot Speed:,Robot Driving Stability:,Robot Functioning Stability:,Notes,Points Scored (Excluding Penalties)
26.0,3792,Yes,1.0,1.0,0.0,0.0,2.0,0.0,0.0,0.0,6.0,0.0,0.0,Deep Cage (low),Fast,Stable (all wheels on the ground at all times),Fully Functional,"Not awful, very good at processor, but can only score level 1s(horizontal outtake), with a better auto, this could be a good pick",40.0
26.0,3792,Yes,1.0,1.0,0.0,0.0,2.0,0.0,0.0,0.0,6.0,0.0,0.0,Deep Cage (low),Fast,Stable (all wheels on the ground at all times),Fully Functional,"Not awful, very good at processor, but can only score level 1s(horizontal outtake), with a better auto, this could be a good pick",40.0
26.0,3792,Yes,1.0,1.0,0.0,0.0,2.0,0.0,0.0,0.0,6.0,0.0,0.0,Deep Cage (low),Fast,Stable (all wheels on the ground at all times),Fully Functional,"Not awful, very good at processor, but can only score level 1s(horizontal outtake), with a better auto, this could be a good pick",40.0
27.0,3492,Yes,4.0,1.0,0.0,0.0,2.0,2.0,5.0,1.0,0.0,0.0,0.0,None,Fast,Stable (all wheels on the ground at all times),Fully Functional,Pretty decent team. Only issue is cycle time is less than ideal. Only do 1 coral in auto but can definitely do more,35.0
27.0,3492,Yes,4.0,1.0,0.0,0.0,2.0,2.0,5.0,1.0,0.0,0.0,0.0,None,Fast,Stable (all wheels on the ground at all times),Fully Functional,Pretty decent team. Only issue is cycle time is less than ideal. Only do 1 coral in auto but can definitely do more,35.0
27.0,3492,Yes,4.0,1.0,0.0,0.0,2.0,2.0,5.0,1.0,0.0,0.0,0.0,None,Fast,Stable (all wheels on the ground at all times),Fully Functional,Pretty decent team. Only issue is cycle time is less than ideal. Only do 1 coral in auto but can definitely do more,35.0
27.0,3492,Yes,4.0,1.0,0.0,0.0,2.0,2.0,5.0,1.0,0.0,0.0,0.0,None,Fast,Stable (all wheels on the ground at all times),Fully Functional,Pretty decent team. Only issue is cycle time is less than ideal. Only do 1 coral in auto but can definitely do more,35.0
27.0,3492,Yes,4.0,1.0,0.0,0.0,2.0,2.0,5.0,1.0,0.0,0.0,0.0,None,Fast,Stable (all wheels on the ground at all times),Fully Functional,Pretty decent team. Only issue is cycle time is less than ideal. Only do 1 coral in auto but can definitely do more,35.0
30.0,7257,Yes,0,0.0,0.0,0.0,1.0,4.0,4.0,4.0,0.0,0.0,0.0,Deep Cage (low),Fast,Stable (all wheels on the ground at all times),Fully Functional,"Really solid team, auto could use some work, it was stopped randomly. Speedy cycles, not really good at cleaning algae ",50.0
30.0,7257,Yes,0,0.0,0.0,0.0,1.0,4.0,4.0,4.0,0.0,0.0,0.0,Deep Cage (low),Fast,Stable (all wheels on the ground at all times),Fully Functional,"Really solid team, auto could use some work, it was stopped randomly. Speedy cycles, not really good at cleaning algae ",50.0
