,Team No.,Scout name:,Auto coral best/preferred level:,Auto other information:,Can score coral in teleop:,Can score algae in processor in teleop:,Can score algae in net in teleop:,Coral intake from station:,Coral ground intake:,Algae reef cleaner:,Algae ground intake:,Climb ability:,Drive train,Can read April tags:,Notes:
39,6353,Aadarsh Dhanabalan,4 (Top),nan,Yes,Yes,Yes,"Yes, wide/funnel intake",No,"Yes, can intake",No,None,Other,No,"Wire is right on the shaft of the algae intake, could get tangled. Also has a wooden belly pan"
40,5468,Vaibhav Shyam ,4 (Top),nan,Yes,No,No,"Yes, wide/funnel intake",No,"Yes, clean only",No,Deep cage,Swerve,Yes,Nothing 
41,5468,Vaibhav Shyam ,4 (Top),nan,Yes,No,No,"Yes, wide/funnel intake",No,"Yes, clean only",No,Deep cage,Swerve,Yes,Can only clean with algea
42,359,Allen,4 (Top),Score 3,Yes,Yes,Yes,"Yes, wide/funnel intake",Yes,"Yes, can intake",Yes,Deep cage,Swerve,Yes,Cool team
43,10527,Sheldon,1 (Bottom),3 L1,Yes,No,No,"Yes, wide/funnel intake",No,No,No,Deep cage,Tank,No,Rookie team
44,8339,Vidyut,4 (Top),nan,Yes,Yes,No,"Yes, thin intake",No,No,Yes,Deep cage,Tank,No,"Can't clean reef, only able yo score processor, intake looks unfinished, working on reading April tags"
45,8339,Vidyut,4 (Top),nan,Yes,Yes,No,"Yes, thin intake",No,No,Yes,Deep cage,Tank,No,"Can't clean reef, only able yo score processor, intake looks unfinished, working on reading April tags"
46,5461,Sridhar Srinivasan,None,Declined scouting due to not being done.,No,No,No,No,No,No,No,None,Other,No,"Still doing major maintenance, robot not functional. Mechanisms not attached, would not be wise to choose "
47,5461,Sridhar Srinivasan,None,Declined scouting due to not being done.,No,No,No,No,No,No,No,None,Other,No,"Still doing major maintenance, robot not functional. Mechanisms not attached, would not be wise to choose "
48,10427,Sheldon,None,Drive,No,Yes,No,No,No,"Yes, can intake",No,None,Tank,No,Rookie team
49,6902,Darren Cai,1 (Bottom),1 and 2,Yes,Yes,Yes,"Yes, thin intake",No,No,Yes,None,Swerve,Yes,nan
50,8338,Vaibhav Shyam ,None,nan,Yes,Yes,No,"Yes, wide/funnel intake",No,No,Yes,Shallow cage,Swerve,Yes,They have tape on their bot
51,8338,Vaibhav Shyam ,None,nan,Yes,Yes,No,"Yes, wide/funnel intake",No,No,Yes,Shallow cage,Swerve,Yes,They have tape on their bot
52,1622,Andre Ruzdijic,3,nan,Yes,Yes,No,"Yes, thin intake",No,"Yes, clean only",Yes,None,Swerve,Yes,nan
53,10044,Allen,None,Drive,Yes,Yes,No,"Yes, thin intake",No,No,Yes,None,Tank,No,Rookie team
54,6390,nan,4 (Top),nan,Yes,No,No,"Yes, wide/funnel intake",No,"Yes, clean only",No,None,Swerve,Yes,nan
55,6390,nan,4 (Top),nan,Yes,No,No,"Yes, wide/funnel intake",No,"Yes, clean only",No,None,Swerve,Yes,nan
56,7332,nan,3,nan,Yes,No,No,"Yes, thin intake",No,No,No,Deep cage,Other,No,nan
57,7332,nan,3,nan,Yes,No,No,"Yes, thin intake",No,No,No,Deep cage,Other,No,nan
58,9719,Sheldon,3,Drive,Yes,No,No,"Yes, wide/funnel intake",No,No,No,None,Swerve,No,nan
59,7332,nan,3,nan,Yes,No,No,"Yes, thin intake",No,No,No,Deep cage,Other,No,nan
60,10427,Vaibhav Shyam ,None,Can't do coral,No,Yes,No,No,No,"Yes, can intake",No,None,Tank,No,They were building when we got here
61,7332,nan,3,nan,Yes,No,No,"Yes, thin intake",No,No,No,Deep cage,Other,No,nan
